,Crop,N,P,K,pH,temp,climate
0,Rice,80,40,40,5.5,3,1
1,Wheat,100,40,0,5.5,8,1
2,Jowar(Sorghum),80,40,40,5.5,30,1
3,Barley(JAV),70,40,45,5.5,18,1
4,Bajra(Pearl Millet),90,30,0,5.5,5,1
5,Maize,80,40,20,5.5,18,1
6,Ragi( naachnnii),50,40,20,5.5,14,1
7,Chickpeas(Channa),40,60,80,5.5,20,1
8,French Beans(Farasbi),90,125,60,5.0,13,1
9,Fava beans (Papdi - Val),90,125,60,5.0,26,1
10,Lima beans(Pavta),40,60,20,5.0,21,1
11,Cluster Beans(Gavar),25,50,25,5.0,13,1
12,Soyabean,20,60,20,5.5,2,1
13,Peanuts,15,25,0,5.5,38,1
14,Black eyed beans( chawli),20,60,20,5.5,9,1
15,Kidney beans,20,60,20,5.5,16,1
16,pigeon peas(Toor Dal),20,60,20,5.5,33,1
17,Moth bean(Matki),20,40,20,5.5,17,1
18,Mung beans,20,40,20,5.5,29,1
19,Green Peas,40,35,55,6.0,8,1
20,Horse Gram(kulthi),20,60,20,6.0,22,1
21,Black Gram,40,60,20,5.0,10,1
22,Rapeseed (Mohri),50,40,20,5.0,28,1
23,Coriander seeds,90,20,20,6.5,36,1
24,Mustard seeds,100,30,15,6.5,13,1
25,sesame seed,30,15,30,6.5,21,1
26,Cumin seeds,90,60,20,6.5,39,1
27,Lentils(Masoor Dal),20,60,20,5.5,8,1
28,Brinjal,80,15,40,6.5,6,1
29,Beetroot,120,50,100,5.5,22,1
30,Bitter Gourd,60,10,20,6.5,13,1
31,Bottle Gourd,100,50,50,6.5,15,1
32,Capsicum,100,20,60,6.5,26,1
33,Cabbage,100,65,70,6.5,12,1
34,Carrot,40,45,60,5.5,2,1
35,Cauliflower,80,70,50,6.5,37,1
36,Cucumber,60,60,85,6.5,11,1
37,Coriander leaves,10,20,20,6.5,28,1
38,Curry leaves,20,20,20,6.5,15,1
39,Drumstick â€“ moringa,40,20,10,6.5,29,1
40,Chili,120,20,80,6.5,20,2
41,Lady Finger,80,10,40,6.5,8,2
42,Mushroom,100,50,60,6.5,6,2
43,Onion,120,60,65,6.0,9,2
44,Potato,180,60,90,5.0,16,2
45,Pumpkin,80,50,30,5.5,35,2
46,Radish,25,100,50,6.0,7,2
47,Olive,100,60,30,6.5,9,2
48,Sweet Potato,90,20,120,5.0,9,2
49,Fenugreek Leaf(methi),30,25,40,6.0,11,2
50,Spinach,60,60,50,6.0,11,2
51,Ridgegourd,90,50,20,6.5,29,2
52,Gooseberry(Amla),20,50,20,4.5,29,2
53,Jambun(Syzygium cumini),10,10,10,4.2,15,2
54,Ziziphus mauritiana(Bor),20,10,10,6.0,14,2
55,Garcinia indica(kokam),40,25,50,4.2,8,2
56,Tamarind,20,15,25,3.1,38,2
57,Tapioca(Suran),50,50,50,5.5,11,2
58,Garlic,50,10,60,5.5,7,2
59,Lemon,20,10,10,3.1,14,2
60,Tomato,100,40,90,6.0,8,2
61,Ash Gourd,60,10,30,5.5,26,2
62,Pineapple,160,40,120,6.5,5,2
63,Pomegranate,20,10,40,5.5,4,2
64,Banana,100,75,50,6.5,24,2
65,Mango,20,20,30,5.0,5,2
66,Grapes,20,125,200,4.0,36,2
67,Jackfruit,75,40,50,5.0,1,2
68,Guava,50,50,50,5.0,27,2
69,Water Melon,100,10,50,5.5,35,2
70,Musk Melon,100,10,50,5.5,4,2
71,Apricot,40,50,25,6.5,27,2
72,Apple,20,125,200,6.5,10,2
73,Chickoo,40,30,60,5.0,39,2
74,Custard apple,40,20,40,6.5,37,2
75,Dates,40,125,20,6.5,25,2
76,Figs,20,60,20,5.0,27,2
77,Orange,20,10,10,4.0,26,2
78,Papaya,50,50,50,6.0,33,2
79,Aniseed,100,50,20,5.0,0,2
80,Asafoetida,90,40,20,5.0,28,3
81,Bay Leaf,100,50,25,5.0,6,3
82,Black Pepper,100,60,50,5.0,26,3
83,Cardamom,75,75,150,5.0,25,3
84,Cinnamon,20,20,25,5.0,35,3
85,Cloves,20,20,60,5.0,27,3
86,Jaiphal(Nutmeg),20,20,60,5.0,36,3
87,Ginger,40,50,20,5.0,30,3
88,Turmeric,25,60,100,5.0,11,3
89,Cashewnuts,70,40,60,6.0,13,3
90,Raisins,60,30,30,6.0,15,3
91,Coconut,20,10,30,5.0,9,3
92,Almond Nut,70,20,10,6.0,19,3
93,Arecanut,100,40,140,6.0,22,3
94,Pistachio Nut,90,20,20,6.0,7,3
95,Lemon Grass,25,40,40,5.5,17,3
96,Cotton,120,40,20,5.5,28,3
97,Jute,80,40,40,5.5,28,3
98,Coffee,100,20,30,5.5,1,3
99,Sugarcane,112,50,0,5.5,15,3
100,Sunflower,50,60,30,5.5,15,3
